Feature,Importance,Coefficient
PhoneService,0.8368117370984833,-0.8368117370984833
Contract,0.7743076984858441,-0.7743076984858444
PaperlessBilling,0.37080407466552334,0.3708040746655234
Dependents,0.25349783295806366,-0.25349783295806366
tenure_bucket,0.20171721758421224,-0.20171721758421218
services_count,0.1967665138675864,-0.1967665138675864
OnlineSecurity,0.19011906998158357,-0.1901190699815835
SeniorCitizen,0.1659764410178024,0.16597644101780243
internet_no_techsupport,0.11430910299948298,0.114309102999483
TechSupport,0.11007134760114354,-0.11007134760114354
StreamingMovies,0.09181115228094976,0.09181115228094974
StreamingTV,0.08529231581130786,0.08529231581130785
PaymentMethod,0.07476360028620915,0.07476360028620914
InternetService,0.06650015764576989,0.06650015764576989
MultipleLines,0.06320413926432213,0.06320413926432214
OnlineBackup,0.06102372892011719,-0.06102372892011719
Partner,0.04657540379605716,0.04657540379605715
gender,0.03622087857851471,0.03622087857851472
tenure,0.034792937855600836,-0.034792937855600836
MonthlyCharges,0.03202685240690907,0.03202685240690907
DeviceProtection,0.0031741255074983574,0.0031741255074983574
monthly_to_total_ratio,0.002854140368946658,0.0028541403689466586
TotalCharges,0.00011133745497219452,0.00011133745497219452
